t,gp_get,gp_put,gr_payload,gr_pad,gr_ts_lo,gr_ts_hi,ce_payload,ce_pad,ce_ts_lo,ce_ts_hi,host_payload,host_pad,host_ts_lo,host_ts_hi
1.403988315,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404006918,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404051219,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404069805,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404088373,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404110759,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404129348,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404155742,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404201912,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404220634,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404239297,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404257948,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404296057,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404314669,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404333276,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404352676,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404371305,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404389927,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404415670,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404434315,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404452914,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404497800,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404519889,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404538615,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404557303,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404575971,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404602126,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404620878,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404639636,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404662343,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404681015,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404699716,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404718393,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404744717,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404769442,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404788104,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404806796,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404825487,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404844206,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404871007,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404889733,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404908475,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404927344,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404946009,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404964705,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.404983393,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405009490,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405039579,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405058311,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405080211,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405109675,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405128323,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405146985,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405182943,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405201716,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405220405,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405239089,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405257741,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405276423,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405295072,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.405315929,111,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405335587,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405354288,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405373030,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405391732,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405410514,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405436504,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405459292,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405477933,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405496611,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405515294,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405537703,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405556389,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
1.405575051,112,112,112,0,562777088,415961668,0,0,0,0,0,0,0,0
